la_code,la_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
00-GG,Shropshire,72,2,85,3,7,14,26,14.2,21.9,0.2,200,5.2,10.6,54.1,0,1.1,3.2,0,20,0.8,1.1,10.6,0,6068,15223,23881,34013,27736,0,99.4,59.2,80.2,150.9,0
00-GL,City of Stoke-on-Trent,98,0,98,0,0,1,2,30,47.8,0.1,300,5.5,9.9,85.2,300,2,4.1,0.1,20,0.8,1.1,7.2,12.4,1843,8542,14242,16742,41744,23,143.2,101.5,122,167.6,268.5
00-HA,Bath and North East Somerset,84,0,89,1,2,5,16,18.1,31.3,0,200,5.4,11.5,67.5,0,1.1,3.5,0,20,0.8,1.1,8.7,0,2104,7157,11171,21040,22706,0,118.2,70.1,94.3,158.7,0
00-HB,City of Bristol,93,1,94,0,0,1,7,46.2,52.4,0.1,300,6.4,12.9,83.1,300,3,4,0,20,0.9,1,6.3,15,1493,5974,19471,43759,90976,8,135.2,97.4,116.4,150.3,286.9
00-HC,North Somerset,83,0,89,2,3,5,17,14.9,27.8,0.1,300,5.7,10.9,67.4,300,1.1,3.2,0,20,0.8,1.1,8.9,15,2366,8741,17738,25443,23182,1,119.5,77.5,97.8,164.6,1216.3
00-HD,South Gloucestershire,91,1,98,1,1,3,8,39.9,53.5,0.1,300,5.3,10.7,84.4,300,3,4.4,0.1,20,0.8,1.1,7.3,14.4,2685,8777,13345,19815,53216,1231,120.4,74.1,94.3,142.2,286.3
00-HE,Cornwall,56,29,94,1,3,6,15,15.3,21.9,0,300,5.4,11.5,53.2,300,1.1,3,0,20,0.8,1.1,10.3,15,9346,23820,40711,74146,49151,1,108.8,63.9,95.6,146.7,221
00-HF,Isles of Scilly,92,0,100,0,1,1,8,20.7,29,0.2,80,5.5,9.1,54,0,1.2,5.4,0.1,20,0.9,1.4,11.9,0,51,143,273,178,513,0,86.7,42.5,56,124.7,0
00-HG,City of Plymouth,96,0,96,0,1,1,4,40,54.1,0.1,300,5.7,11.2,87,300,3,4.3,0,20,0.9,1.1,6.9,14,1692,6529,12160,20227,52859,24,142.6,95.3,121.9,161.4,274.6
00-HH,Torbay,89,0,93,0,0,1,11,18.1,32,0.1,300,6.4,13.2,73.7,300,1.1,3.1,0.1,20,0.9,1.1,8.1,13.6,600,2963,8921,21209,15217,7,131.6,85.4,117.3,164.4,1197.2
00-HN,Bournemouth,99,0,99,0,0,0,1,30,46,0,300,6.1,12.7,77.9,300,2,4.3,0,20,0.9,1.1,7.4,13.9,734,3851,9745,19376,35155,9,143,85.7,120.9,164.2,364.5
00-HP,Poole,97,0,99,0,0,0,3,30,48.5,0.1,300,5.6,11.2,83.4,300,2,4.3,0,20,0.9,1.1,7.5,13.3,935,4760,8160,13050,28715,12,123.7,84.4,100,146.9,634.8
